B02512,1/1/2015,190,1132
B02765,1/1/2015,225,1765
B02764,1/1/2015,3427,29421
B02682,1/1/2015,945,7679
B02617,1/1/2015,1228,9537
B02598,1/1/2015,870,6903
B02598,1/2/2015,785,4768
B02617,1/2/2015,1137,7065
B02512,1/2/2015,175,875
B02682,1/2/2015,890,5506
B02765,1/2/2015,196,1001
B02764,1/2/2015,3147,19974
B02765,1/3/2015,201,1526
B02617,1/3/2015,1188,10664
B02598,1/3/2015,818,7432
B02682,1/3/2015,915,8010
B02512,1/3/2015,173,1088
B02764,1/3/2015,3215,29729
B02512,1/4/2015,147,791
B02682,1/4/2015,812,5621
B02598,1/4/2015,746,5223
B02765,1/4/2015,183,993
B02617,1/4/2015,1088,7729
B02764,1/4/2015,2862,20441
B02512,1/5/2015,194,984
B02682,1/5/2015,951,6012
B02617,1/5/2015,1218,7899
B02764,1/5/2015,3387,20926
B02598,1/5/2015,907,5798
B02765,1/5/2015,227,1133
B02764,1/6/2015,3473,25301
B02682,1/6/2015,1022,7491
B02617,1/6/2015,1336,10128
B02765,1/6/2015,234,1376
B02512,1/6/2015,218,1314
B02598,1/6/2015,933,6816
B02617,1/7/2015,1363,11528
B02682,1/7/2015,1039,9078
B02764,1/7/2015,3603,29949
B02765,1/7/2015,248,1704
B02512,1/7/2015,217,1446
B02598,1/7/2015,974,8397
B02765,1/8/2015,262,1911
B02598,1/8/2015,1070,10050
B02512,1/8/2015,238,1772
B02682,1/8/2015,1135,10416
B02764,1/8/2015,3831,33802
B02617,1/8/2015,1463,13462
B02617,1/9/2015,1455,13165
B02512,1/9/2015,224,1560
B02764,1/9/2015,3820,33517
B02682,1/9/2015,1140,10477
B02598,1/9/2015,1070,9538
B02765,1/9/2015,280,2039
B02682,1/10/2015,1057,11629
B02617,1/10/2015,1331,13856
B02598,1/10/2015,949,10287
B02512,1/10/2015,206,1646
B02764,1/10/2015,3558,38864
B02765,1/10/2015,245,2202
B02765,1/11/2015,220,1672
B02598,1/11/2015,832,7176
B02682,1/11/2015,943,8461
B02764,1/11/2015,3186,27681
B02617,1/11/2015,1228,10932
B02512,1/11/2015,162,1104
B02764,1/12/2015,3499,26852
B02765,1/12/2015,279,1711
B02512,1/12/2015,217,1399
B02598,1/12/2015,964,7915
B02682,1/12/2015,1082,9107
B02617,1/12/2015,1323,10662
B02765,1/13/2015,258,1697
B02598,1/13/2015,975,8713
B02617,1/13/2015,1342,11825
B02512,1/13/2015,234,1652
B02764,1/13/2015,3658,29983
